08 21 09:13:54.234  INFO 65828 aella::mysqld:59              : MySQL Server listen to 0.0.0.0:8080...
08 21 09:13:54.238  INFO 25348 aella::mysqld:86              : Binlog watcher inited, start after 3 secs, running every 3 secs
08 21 09:13:57.256 DEBUG 63124 aella::mysqld:126             : Binlog file changed...C:/Users/BK-liao/mysqltest/data/binlog/mysql-bin.000002
08 21 09:13:58.248 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:13:59.248 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:14:00.246 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:14:01.246 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:14:02.247 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:14:03.248 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:14:04.250 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:14:05.255 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:14:06.247 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:14:07.247 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:14:08.242 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:14:09.242 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:14:10.244 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:14:11.247 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:14:12.243 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:14:13.242 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:14:14.242 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:14:15.241 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:14:16.250 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:14:17.249 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:14:18.250 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:14:19.242 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:14:20.252 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:14:21.249 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:14:22.242 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:14:23.253 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:14:24.249 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:14:25.248 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:14:26.247 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:14:27.243 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:14:28.253 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:14:29.250 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:14:30.249 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:14:31.248 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:14:32.244 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:14:33.240 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:14:34.253 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:14:35.245 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:14:36.245 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:14:37.256 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:14:38.247 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:14:39.242 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:14:40.251 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:14:41.241 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:14:42.245 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:14:43.254 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:14:44.251 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:14:45.241 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:14:46.255 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:14:47.255 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:14:48.250 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:14:49.254 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:14:50.248 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:14:51.250 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:14:52.246 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:14:53.241 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:14:54.255 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:14:55.254 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:14:56.247 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:14:57.243 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:14:58.248 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:14:59.244 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:15:00.241 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:15:01.249 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:15:02.251 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:15:03.252 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:15:04.249 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:15:05.250 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:15:06.253 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:15:07.247 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:15:08.246 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:15:09.244 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:15:10.255 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:15:11.249 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:15:12.249 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:15:13.255 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:15:14.250 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:15:15.247 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:15:16.243 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:15:17.242 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:15:18.254 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:15:19.249 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:15:20.247 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:15:21.245 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:15:22.251 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:15:23.250 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:15:24.245 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:15:25.255 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:15:26.253 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:15:27.247 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:15:28.246 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:15:29.240 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:15:30.255 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:15:31.251 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:15:32.248 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:15:33.250 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:15:34.255 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:15:35.252 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:15:36.246 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:15:37.240 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:15:38.249 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:15:39.248 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:15:40.250 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
08 21 09:15:41.251 DEBUG 63124 aella::mysqld:141             : Binlog watcher running...
