08 19 17:37:40.645  INFO mysql_avatar::mysqld:73       : Binlog watcher inited, start after 3 secs, running every 3 secs
08 19 17:37:43.650 DEBUG mysql_avatar::mysqld:108      : Binlog file changed...C:/Users/BK-liao/mysqltest/data/binlog/mysql-bin.000002
08 19 17:37:50.604 DEBUG mysql_avatar::mysqld:151      : cloned_rx.changed...
08 19 17:37:50.606 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:50.607 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:50.607 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:50.610 DEBUG mysql_avatar::mysqld:161      : socket.readable...
08 19 17:37:50.611 DEBUG sqlparser::parser:443         : Parsing sql 'SET NAMES latin1'...
08 19 17:37:50.612 DEBUG mysql_avatar::mysqld:161      : socket.readable...
08 19 17:37:50.612 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:50.614 DEBUG sqlparser::parser:443         : Parsing sql 'SELECT UNIX_TIMESTAMP()'...
08 19 17:37:50.614 DEBUG sqlparser::parser:1232        : parsing expr
08 19 17:37:50.615 DEBUG sqlparser::parser:1237        : prefix: Function(Function { name: ObjectName([Identifier(Ident { value: "UNIX_TIMESTAMP", quote_style: None, span: Span(Location(1,8)..Location(1,22)) })]), uses_odbc_syntax: false, parameters: None, args: List(FunctionArgumentList { duplicate_treatment: None, args: [], clauses: [] }), filter: None, null_treatment: None, over: None, within_group: [] })
08 19 17:37:50.615 DEBUG sqlparser::dialect:645        : get_next_precedence_full() TokenWithSpan { token: EOF, span: Span(Location(0,0)..Location(0,0)) }
08 19 17:37:50.615 DEBUG sqlparser::parser:1240        : next precedence: 0
08 19 17:37:50.618 DEBUG mysql_avatar::mysqld:161      : socket.readable...
08 19 17:37:50.619 DEBUG sqlparser::parser:443         : Parsing sql 'SHOW VARIABLES LIKE 'SERVER_ID''...
08 19 17:37:50.621 DEBUG mysql_avatar::mysqld:161      : socket.readable...
08 19 17:37:50.621 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:50.623 DEBUG sqlparser::parser:443         : Parsing sql 'SET @master_heartbeat_period= 30000001024'...
08 19 17:37:50.623 DEBUG sqlparser::parser:1232        : parsing expr
08 19 17:37:50.623 DEBUG sqlparser::parser:1237        : prefix: Value(ValueWithSpan { value: Number("30000001024", false), span: Span(Location(1,31)..Location(1,42)) })
08 19 17:37:50.623 DEBUG sqlparser::dialect:645        : get_next_precedence_full() TokenWithSpan { token: EOF, span: Span(Location(0,0)..Location(0,0)) }
08 19 17:37:50.624 DEBUG sqlparser::parser:1240        : next precedence: 0
08 19 17:37:50.624 DEBUG mysql_avatar::mysqld:161      : socket.readable...
08 19 17:37:50.625 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:50.625 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:50.626 DEBUG sqlparser::parser:443         : Parsing sql 'SET @master_binlog_checksum= @@global.binlog_checksum'...
08 19 17:37:50.627 DEBUG sqlparser::parser:1232        : parsing expr
08 19 17:37:50.627 DEBUG sqlparser::parser:1232        : parsing expr
08 19 17:37:50.627 DEBUG sqlparser::parser:1237        : prefix: Identifier(Ident { value: "binlog_checksum", quote_style: None, span: Span(Location(1,39)..Location(1,54)) })
08 19 17:37:50.627 DEBUG sqlparser::dialect:645        : get_next_precedence_full() TokenWithSpan { token: EOF, span: Span(Location(0,0)..Location(0,0)) }
08 19 17:37:50.628 DEBUG sqlparser::parser:1240        : next precedence: 0
08 19 17:37:50.628 DEBUG sqlparser::parser:1237        : prefix: CompoundIdentifier([Ident { value: "@@global", quote_style: None, span: Span(Location(1,30)..Location(1,38)) }, Ident { value: "binlog_checksum", quote_style: None, span: Span(Location(1,39)..Location(1,54)) }])
08 19 17:37:50.628 DEBUG sqlparser::dialect:645        : get_next_precedence_full() TokenWithSpan { token: EOF, span: Span(Location(0,0)..Location(0,0)) }
08 19 17:37:50.629 DEBUG sqlparser::parser:1240        : next precedence: 0
08 19 17:37:50.629 DEBUG mysql_avatar::mysqld:161      : socket.readable...
08 19 17:37:50.630 DEBUG mysql_avatar::mysqld:166      : socket.writable...
08 19 17:37:50.631 DEBUG sqlparser::parser:443         : Parsing sql 'SELECT @master_binlog_checksum'...
08 19 17:37:50.631 DEBUG sqlparser::parser:1232        : parsing expr
08 19 17:37:50.631 DEBUG sqlparser::parser:1237        : prefix: Identifier(Ident { value: "@master_binlog_checksum", quote_style: None, span: Span(Location(1,8)..Location(1,31)) })
08 19 17:37:50.631 DEBUG sqlparser::dialect:645        : get_next_precedence_full() TokenWithSpan { token: EOF, span: Span(Location(0,0)..Location(0,0)) }
08 19 17:37:50.631 DEBUG sqlparser::parser:1240        : next precedence: 0
08 19 17:37:50.633 DEBUG mysql_avatar::mysqld:161      : socket.readable...
08 19 17:37:50.633 DEBUG sqlparser::parser:443         : Parsing sql 'SET @mariadb_slave_capability=4'...
08 19 17:37:50.634 DEBUG sqlparser::parser:1232        : parsing expr
08 19 17:37:50.634 DEBUG sqlparser::parser:1237        : prefix: Value(ValueWithSpan { value: Number("4", false), span: Span(Location(1,31)..Location(1,32)) })
08 19 17:37:50.634 DEBUG sqlparser::dialect:645        : get_next_precedence_full() TokenWithSpan { token: EOF, span: Span(Location(0,0)..Location(0,0)) }
08 19 17:37:50.634 DEBUG sqlparser::parser:1240        : next precedence: 0
08 19 17:37:50.635 DEBUG mysql_avatar::mysqld:161      : socket.readable...
08 19 17:37:50.636 DEBUG sqlparser::parser:443         : Parsing sql 'SELECT binlog_gtid_pos('mysql-bin.000001',256618)'...
08 19 17:37:50.636 DEBUG sqlparser::parser:1232        : parsing expr
